ISIN코드,기업명,배당기준일,1주당배당금,종가,매수주식수,총배당금,투자금대비배당률(%)
KR7225190008,엘케이삼양,2020-12-31,500.0,9410.0,1062,531000.0,5.3100000000000005
KR7039240007,경남스틸,2020-12-31,100.0,1885.0,5305,530500.0,5.305
KR7037460003,삼지전자,2023-12-31,450.0,8500.0,1176,529200.0,5.292
KR7003800000,에이스침대,2023-12-31,1400.0,26450.0,378,529200.0,5.292
KR7093050003,LF,2023-12-31,700.0,13270.0,753,527100.0,5.271
KR7035000009,에이치에스애드,2020-12-31,300.0,5700.0,1754,526200.0,5.2620000000000005
KR7128660008,피제이메탈,2020-12-31,120.0,2285.0,4376,525120.0,5.251200000000001
KR7065710006,서호전기,2023-12-31,1000.0,19030.0,525,525000.0,5.25
KR7016250003,에스지씨이앤씨,2022-12-31,1500.0,28500.0,350,525000.0,5.25
KR7140520008,대창스틸,2022-12-31,150.0,2860.0,3496,524400.0,5.244
KR7001800002,오리온홀딩스,2025-02-28,800.0,15250.0,655,524000.0,5.24
KR7007330004,푸른저축은행,2022-12-31,650.0,12400.0,806,523900.0,5.239
KR7023410004,유진기업,2025-03-31,170.0,3245.0,3081,523770.0,5.2377
KR7214320004,이노션,2025-03-26,950.0,18120.0,551,523450.0,5.234500000000001
KR7051390003,YW,2023-12-31,200.0,3820.0,2617,523400.0,5.234
KR7005960000,동부건설,2024-12-31,200.0,3825.0,2614,522800.0,5.228
KR7064820004,케이프,2024-12-31,300.0,5740.0,1742,522600.0,5.226
KR7005010004,휴스틸,2024-04-03,250.0,4785.0,2089,522250.0,5.2225
KR7002460004,에이치에스화성,2020-12-31,650.0,12450.0,803,521950.0,5.2195
KR7037460003,삼지전자,2024-12-31,450.0,8630.0,1158,521100.0,5.210999999999999
KR7000480004,시알홀딩스,2020-12-31,4200.0,80600.0,124,520800.0,5.208
KR7192400000,쿠쿠홀딩스,2024-12-31,1200.0,23000.0,434,520800.0,5.208
KR7065690000,파커스,2020-12-31,150.0,2885.0,3466,519900.0,5.199
KR7044820009,코스맥스비티아이,2024-12-31,450.0,8660.0,1154,519300.0,5.193
KR7072870009,메가스터디,2020-12-31,600.0,11550.0,865,519000.0,5.19
KR7092440007,기신정기,2020-03-31,150.0,2895.0,3454,518100.0,5.181
KR7000440008,중앙에너비스,2020-12-31,480.0,9260.0,1079,517920.0,5.1792
KR7032540007,티제이미디어,2023-12-31,320.0,6180.0,1618,517760.0,5.1776
KR7010780005,아이에스동서,2023-12-31,1500.0,28950.0,345,517500.0,5.175
KR7088350004,한화생명보험,2024-03-29,150.0,2900.0,3448,517200.0,5.172000000000001
KR7054040001,한국컴퓨터,2020-12-31,150.0,2900.0,3448,517200.0,5.172000000000001
KR7002460004,에이치에스화성,2024-12-31,500.0,9690.0,1031,515500.0,5.155
KR7086670007,비엠티,2025-12-31,600.0,11650.0,858,514800.0,5.148
KR7002290005,삼일기업공사,2024-12-31,200.0,3890.0,2570,514000.0,5.140000000000001
KR7000140004,하이트진로홀딩스,2022-12-31,500.0,9720.0,1028,514000.0,5.140000000000001
KR7111110003,호전실업,2024-12-31,400.0,7780.0,1285,514000.0,5.140000000000001
KR7093920007,서원인텍,2021-12-31,350.0,6820.0,1466,513100.0,5.131
KR7001800002,오리온홀딩스,2023-12-31,750.0,14600.0,684,513000.0,5.13
KR7318410008,비비씨,2025-03-31,400.0,7810.0,1280,512000.0,5.12
KR7204210009,스타에스엠자기관리부동산투자회사,2020-12-31,150.0,2935.0,3407,511050.0,5.1105
KR7005960000,동부건설,2023-12-31,300.0,5870.0,1703,510900.0,5.109
KR7098660004,에스티오,2020-12-31,110.0,2155.0,4640,510400.0,5.104
KR7078930005,지에스,2021-12-31,2000.0,39100.0,255,510000.0,5.1
KR7016450009,한세예스24홀딩스,2023-12-31,250.0,4900.0,2040,510000.0,5.1
KR7015890007,태경산업,2024-12-31,250.0,4900.0,2040,510000.0,5.1
KR7005810007,풍산홀딩스,2025-02-28,1400.0,27400.0,364,509600.0,5.096
KR7357250000,미래에셋맵스제1호위탁관리부동산투자회사,2024-11-30,132.0,2595.0,3853,508596.0,5.08596
KR7011040003,경동제약,2022-12-31,400.0,7870.0,1270,508000.0,5.08
KR7034590000,인천도시가스,2024-12-31,1250.0,24600.0,406,507500.0,5.075
KR7000070003,삼양홀딩스,2022-12-31,3500.0,68700.0,145,507500.0,5.075
KR7190650002,코리아에셋투자증권,2021-03-31,450.0,8870.0,1127,507150.0,5.0715
KR7042500009,링네트,2024-12-31,240.0,4735.0,2111,506640.0,5.0664
KR7161000005,애경케미칼,2021-12-31,550.0,10850.0,921,506550.0,5.0655
KR7008370009,원풍,2023-12-31,220.0,4345.0,2301,506220.0,5.0622
KR7092730001,네오팜,2024-12-31,600.0,11850.0,843,505800.0,5.058
KR7102260007,동성케미컬,2020-12-31,250.0,4945.0,2022,505500.0,5.055
KR7078930005,지에스,2020-12-31,1900.0,37550.0,266,505400.0,5.054
KR7023530009,롯데쇼핑,2023-12-31,3800.0,75000.0,133,505400.0,5.054
KR7003460003,유화증권,2023-12-31,120.0,2375.0,4210,505200.0,5.0520000000000005
KR7408920007,메쎄이상,2024-12-31,100.0,1980.0,5050,505000.0,5.050000000000001
KR7000070003,삼양홀딩스,2023-12-31,3500.0,69000.0,144,504000.0,5.04
KR7089600001,케이티나스미디어,2024-12-31,700.0,13900.0,719,503300.0,5.033
KR7000240002,한국앤컴퍼니,2025-03-31,790.0,15690.0,637,503230.0,5.0323
KR7016090003,대현,2022-12-31,110.0,2190.0,4566,502260.0,5.0226
KR7020000006,한섬,2025-04-03,750.0,14930.0,669,501750.0,5.0175
KR7357250000,미래에셋맵스제1호위탁관리부동산투자회사,2025-05-31,136.977,2730.0,3663,501746.751,5.0174675099999995
KR7005830005,디비손해보험,2020-12-31,2200.0,43750.0,228,501600.0,5.016
KR7000320002,노루홀딩스,2022-12-31,500.0,9970.0,1003,501500.0,5.015
KR7071050009,한국투자금융지주,2025-02-28,3980.0,78900.0,126,501480.0,5.0148
KR7396690000,미래에셋글로벌위탁관리부동산투자회사,2025-09-30,135.135,2695.0,3710,501350.85,5.0135084999999995
KR7004990008,롯데지주,2021-12-31,1500.0,29900.0,334,501000.0,5.01
KR7034590000,인천도시가스,2020-12-31,1250.0,25000.0,400,500000.0,5.0
KR7017390006,서울도시가스,2024-12-31,2500.0,49800.0,200,500000.0,5.0
KR7069260008,티케이지휴켐스,2022-12-31,1000.0,20000.0,500,500000.0,5.0
KR7006200000,한국전자홀딩스,2022-12-31,50.0,1000.0,10000,500000.0,5.0
KR7004150009,한솔홀딩스,2025-03-31,120.0,2405.0,4158,498960.0,4.9896
KR7095570008,에이제이네트웍스,2021-12-31,270.0,5410.0,1848,498960.0,4.9896
KR7053620001,태양,2023-12-31,380.0,7620.0,1312,498560.0,4.9856
KR7065710006,서호전기,2025-06-30,2000.0,40100.0,249,498000.0,4.9799999999999995
KR7161390000,한국타이어앤테크놀로지,2025-03-31,2000.0,40050.0,249,498000.0,4.9799999999999995
KR7030000004,제일기획,2022-12-31,1150.0,23050.0,433,497950.0,4.9795
KR7036190007,금화피에스시,2023-12-31,1300.0,26100.0,383,497900.0,4.979
