ISIN코드,기업명,배당기준일,기준종가일,종가,1주당배당금,공시배당률,투자금액,시가배당률(%),매수주식수,총배당금,투자금대비배당률(%)
KR7000970004,한국주철관공업,2022-12-31,2022-12-29,6780.0,400.0,80.0,10000000.0,5.899705014749262,1474,589600.0,5.896
KR7000970004,한국주철관공업,2023-12-31,2023-12-28,6910.0,400.0,80.0,10000000.0,5.788712011577424,1447,578800.0,5.788
KR7000970004,한국주철관공업,2024-12-31,2024-12-30,6200.0,400.0,80.0,10000000.0,6.451612903225806,1612,644800.0,6.4479999999999995
KR7001230002,동국홀딩스,2020-12-31,2020-12-30,8120.0,200.0,4.0,10000000.0,2.4630541871921183,1231,246200.0,2.4619999999999997
KR7001230002,동국홀딩스,2021-12-31,2021-12-30,15900.0,400.0,8.0,10000000.0,2.515723270440252,628,251200.0,2.512
KR7001230002,동국홀딩스,2022-12-31,2022-12-29,11150.0,500.0,10.0,10000000.0,4.484304932735426,896,448000.0,4.4799999999999995
KR7001230002,동국홀딩스,2023-12-31,2023-12-28,8780.0,600.0,12.0,10000000.0,6.83371298405467,1138,682800.0,6.827999999999999
KR7001230002,동국홀딩스,2024-06-30,2024-06-28,8440.0,100.0,2.0,10000000.0,1.1848341232227488,1184,118400.0,1.184
KR7001230002,동국홀딩스,2025-03-31,2025-03-28,7140.0,400.0,8.0,10000000.0,5.602240896358544,1400,560000.0,5.6000000000000005
KR7001230002,동국홀딩스,2025-06-30,2025-06-27,7930.0,100.0,2.0,10000000.0,1.2610340479192939,1261,126100.0,1.261
KR7001250000,지에스글로벌,2023-12-31,2023-12-28,2550.0,25.0,1.0,10000000.0,0.9803921568627451,3921,98025.0,0.9802500000000001
KR7001250000,지에스글로벌,2025-02-28,2025-02-27,2660.0,25.0,1.0,10000000.0,0.9398496240601504,3759,93975.0,0.93975
KR7001270008,부국증권,2020-12-31,2020-12-30,21300.0,1200.0,24.0,10000000.0,5.633802816901409,469,562800.0,5.628
KR7001270008,부국증권,2021-12-31,2021-12-30,24450.0,1600.0,32.0,10000000.0,6.5439672801636,408,652800.0,6.5280000000000005
KR7001270008,부국증권,2022-12-31,2022-12-29,18150.0,1500.0,30.0,10000000.0,8.264462809917356,550,825000.0,8.25
KR7001270008,부국증권,2024-03-29,2024-03-28,24650.0,1500.0,30.0,10000000.0,6.085192697768763,405,607500.0,6.075
KR7001270008,부국증권,2025-04-03,2025-04-02,25900.0,1500.0,30.0,10000000.0,5.7915057915057915,386,579000.0,5.79
KR7001340009,피케이씨,2020-12-31,2020-12-30,3315.0,50.0,10.0,10000000.0,1.5082956259426847,3016,150800.0,1.508
KR7001340009,피케이씨,2021-12-31,2021-12-30,5160.0,50.0,10.0,10000000.0,0.9689922480620154,1937,96850.0,0.9684999999999999
KR7001340009,피케이씨,2022-12-31,2022-12-29,4310.0,60.0,12.0,10000000.0,1.3921113689095126,2320,139200.0,1.392
KR7001340009,피케이씨,2023-12-31,2023-12-28,7790.0,60.0,12.0,10000000.0,0.7702182284980745,1283,76980.0,0.7698
KR7001390004,케이지케미칼,2020-12-31,2020-12-30,23850.0,400.0,8.0,10000000.0,1.6771488469601679,419,167600.0,1.6760000000000002
KR7001390004,케이지케미칼,2021-12-31,2021-12-30,30750.0,500.0,10.0,10000000.0,1.6260162601626018,325,162500.0,1.625
KR7001390004,케이지케미칼,2022-12-31,2022-12-29,20550.0,500.0,10.0,10000000.0,2.4330900243309004,486,243000.0,2.4299999999999997
KR7001390004,케이지케미칼,2023-12-31,2023-12-28,6850.0,120.0,12.0,10000000.0,1.7518248175182483,1459,175080.0,1.7508
KR7001390004,케이지케미칼,2024-12-31,2024-12-30,3730.0,130.0,13.0,10000000.0,3.485254691689008,2680,348400.0,3.4840000000000004
KR7001420009,태원물산,2020-12-31,2020-12-30,3995.0,50.0,10.0,10000000.0,1.2515644555694618,2503,125150.0,1.2515
KR7001420009,태원물산,2021-12-31,2021-12-30,5820.0,55.0,11.0,10000000.0,0.9450171821305842,1718,94490.0,0.9449000000000001
KR7001420009,태원물산,2022-12-31,2022-12-29,3895.0,50.0,10.0,10000000.0,1.2836970474967908,2567,128350.0,1.2834999999999999
KR7001420009,태원물산,2023-12-31,2023-12-28,4950.0,140.0,28.0,10000000.0,2.8282828282828283,2020,282800.0,2.828
KR7001420009,태원물산,2024-12-31,2024-12-30,3700.0,200.0,40.0,10000000.0,5.405405405405405,2702,540400.0,5.404
KR7001430008,세아베스틸지주,2020-12-31,2020-12-30,10600.0,200.0,4.0,10000000.0,1.8867924528301887,943,188600.0,1.886
KR7001430008,세아베스틸지주,2021-12-31,2021-12-30,19900.0,1500.0,30.0,10000000.0,7.537688442211055,502,753000.0,7.53
KR7001430008,세아베스틸지주,2022-12-31,2022-12-29,16300.0,1200.0,24.0,10000000.0,7.361963190184049,613,735600.0,7.356
KR7001430008,세아베스틸지주,2023-12-31,2023-12-28,24850.0,1200.0,24.0,10000000.0,4.82897384305835,402,482400.0,4.824
KR7001430008,세아베스틸지주,2025-03-28,2025-03-27,18500.0,1200.0,24.0,10000000.0,6.486486486486487,540,648000.0,6.4799999999999995
KR7001450006,현대해상화재보험,2020-12-31,2020-12-30,22750.0,1000.0,200.0,10000000.0,4.395604395604396,439,439000.0,4.390000000000001
KR7001450006,현대해상화재보험,2021-12-31,2021-12-30,22950.0,1480.0,296.0,10000000.0,6.44880174291939,435,643800.0,6.438000000000001
KR7001450006,현대해상화재보험,2022-12-31,2022-12-29,29450.0,1965.0,393.0,10000000.0,6.6723259762309,339,666135.0,6.6613500000000005
KR7001450006,현대해상화재보험,2024-03-29,2024-03-28,30850.0,2063.0,412.6,10000000.0,6.687196110210697,324,668412.0,6.68412
KR7001460005,BYC,2020-12-31,2020-12-30,286500.0,1100.0,22.0,10000000.0,0.38394415357766143,34,37400.0,0.374
KR7001460005,BYC,2021-12-31,2021-12-30,450500.0,1500.0,30.0,10000000.0,0.3329633740288568,22,33000.0,0.33
KR7001460005,BYC,2022-12-31,2022-12-29,366000.0,3000.0,60.0,10000000.0,0.819672131147541,27,81000.0,0.8099999999999999
KR7001460005,BYC,2023-12-31,2023-12-28,426500.0,3000.0,60.0,10000000.0,0.7033997655334115,23,69000.0,0.69
KR7001460005,BYC,2024-12-31,2024-12-30,29500.0,350.0,70.0,10000000.0,1.1864406779661016,338,118300.0,1.183
KR7001500008,현대차증권,2020-12-31,2020-12-30,12600.0,675.0,13.5,10000000.0,5.357142857142857,793,535275.0,5.3527499999999995
KR7001500008,현대차증권,2021-12-31,2021-12-30,12350.0,800.0,16.0,10000000.0,6.477732793522267,809,647200.0,6.4719999999999995
KR7001500008,현대차증권,2022-12-31,2022-12-29,9090.0,550.0,11.0,10000000.0,6.050605060506051,1100,605000.0,6.05
KR7001500008,현대차증권,2024-03-29,2024-03-28,8980.0,400.0,8.0,10000000.0,4.4543429844097995,1113,445200.0,4.452
KR7001500008,현대차증권,2025-03-31,2025-03-28,5700.0,180.0,3.6,10000000.0,3.1578947368421053,1754,315720.0,3.1572000000000005
KR7001510007,SK증권,2020-12-31,2020-12-30,802.0,10.0,2.0,10000000.0,1.2468827930174564,12468,124680.0,1.2468
KR7001510007,SK증권,2021-12-31,2021-12-30,1000.0,15.0,3.0,10000000.0,1.5,10000,150000.0,1.5
KR7001510007,SK증권,2022-12-31,2022-12-29,618.0,5.0,1.0,10000000.0,0.8090614886731391,16181,80905.0,0.80905
KR7001510007,SK증권,2023-12-31,2023-12-28,641.0,2.0,0.4,10000000.0,0.31201248049922,15600,31200.0,0.312
KR7001510007,SK증권,2025-03-31,2025-03-28,456.0,1.0,0.2,10000000.0,0.21929824561403508,21929,21929.0,0.21928999999999998
KR7001520006,동양,2020-12-31,2020-12-30,1190.0,40.0,8.0,10000000.0,3.361344537815126,8403,336120.0,3.3612
KR7001520006,동양,2021-12-31,2021-12-30,1465.0,40.0,8.0,10000000.0,2.7303754266211606,6825,273000.0,2.73
KR7001520006,동양,2022-12-31,2022-12-29,1000.0,40.0,8.0,10000000.0,4.0,10000,400000.0,4.0
KR7001520006,동양,2023-12-31,2023-12-28,999.0,40.0,8.0,10000000.0,4.004004004004004,10010,400400.0,4.004
